,name,size,terrace,age_1,ku,room,Living,Dining,Kitchen,Service,No.ofRooms,price
16065,【空室物件】ライオンズ亀有駅前レジデンス　12階・南…,70.25,16.1,4014 days,葛飾,3,1,1,1,0,6,5230
16066,ベイクレストタワー,56.87,7.3,5659 days,港,2,1,1,1,0,5,5230
16067,ライオンズ亀有駅前レジデンス,70.25,16.1,4014 days,葛飾,3,1,1,1,0,6,5230
16068,コディア八幡山,55.18,-,1610 days,杉並,2,1,1,1,0,5,5230
16069,ライオンンズステーションプラザ大島,100.91,6.39,11138 days,江東,14,1,1,1,0,17,5250
16070,ＪＰＣ恵比寿マンション,54.6,12.7,17773 days,渋谷,1,1,1,1,1,5,5250
16071,ライオンズステーションプラザ大島,100.91,17.44,11138 days,江東,4,1,1,1,0,7,5250
16072,ルフォン船堀,73.27,8.15,3010 days,江戸川,3,1,1,1,0,6,5250
16073,◆大人の隠れ家　３方からの採光　広いＬＤＫの南向き住…,54.6,12.7,17773 days,渋谷,1,1,1,1,0,4,5250
16074,グランイーグル蒲田ネオハート,62.7,10.98,3468 days,大田,3,1,1,1,0,6,5250
16075,グランイ－グル蒲田ネオハ－ト,62.7,10.98,3468 days,大田,3,1,1,1,0,6,5250
16076,クレストフォルム大井町サウステラス,57.95,5,2188 days,品川,2,1,1,1,0,5,5250
16077,JPC恵比寿マンション,54.6,12.7,17773 days,渋谷,1,1,1,1,1,5,5250
16078,Ｊ．Ｐ．Ｃ恵比寿マンション,54.6,12.7,17773 days,渋谷,1,1,1,1,1,5,5250
16079,二子玉川宝ロイアルハイツ,66.76,-,13938 days,世田谷,2,1,1,1,0,5,5250
16080,ヒルズ代官山,43.42,5.25,13360 days,渋谷,1,1,1,1,0,4,5250
16081,JPC恵比寿マンション,54.6,12.7,17865 days,渋谷,1,1,1,1,0,4,5250
16082,◇新規フルリノベーション◇J.P.C恵比寿マンション,54.6,12.7,17773 days,渋谷,1,1,1,1,1,5,5250
16083,J.P.C恵比寿マンション,54.6,12.7,17773 days,渋谷,1,1,1,1,1,5,5250
16084,JPC恵比寿マンション,54.6,12.7,18139 days,渋谷,1,1,1,1,1,5,5250
