,name,size,terrace,age_1,ku,room,Living,Dining,Kitchen,Service,No.ofRooms,price
3239,NICE URBUN中野方南町,64.08,7,11107 days,中野,2,1,1,1,1,6,4480
3240,赤堤テラス,77.15,10.08,16770 days,世田谷,2,1,1,1,0,5,4480
3241,グランイーグル大鳥居５,65.18,9.15,6206 days,大田,3,1,1,1,0,6,4480
3242,レクセルマンション王子神谷,64.99,9.58,7882 days,北,3,1,1,1,0,6,4480
3243,アルコード葛西/01,67.47,16.75,4379 days,江戸川,2,1,1,1,0,5,4480
3244,メイツ新桜台　中古マンション,71.82,10.55,9981 days,練馬,3,1,1,1,0,6,4480
3245,ライオンズマンション花壇代官山,38.19,9.77,15490 days,目黒,1,1,1,1,0,4,4480
3246,アルコード葛西/０１,67.47,16.75,4379 days,江戸川,2,1,1,1,0,5,4480
3247,インシティ浜松町,42.03,3.24,8185 days,港,1,1,1,1,0,4,4480
3248,ウエスト北小岩,114.3,10.9,10346 days,江戸川,2,1,1,1,1,6,4480
3249,ヴェラハイツ勝どき,53.7,9.85,13298 days,中央,2,1,1,1,0,5,4480
3250,赤堤テラス,77.14,10.08,16770 days,世田谷,2,1,1,1,0,5,4480
3251,アルコード葛西,67.47,16.75,4379 days,江戸川,2,1,1,1,0,5,4480
3252,【毎月返済額、１２万円以下の３LDK！！】　ジェイパ…,76,-,5871 days,世田谷,3,1,1,1,0,6,4480
3253,メイツ新桜台,71.82,10.55,9981 days,練馬,3,1,1,1,0,6,4480
3254,レーベンリヴァーレ新江古田レリッシュ,61.1,10.71,5475 days,中野,3,1,1,1,0,6,4480
3255,ヴェレーナ浅草,57.6,10,2645 days,台東,2,1,1,1,0,5,4480
3256,ジェイパークリバージュ二子玉川,76,8.36,5871 days,世田谷,3,1,1,1,0,6,4480
3257,レーベンリヴェーレ新江古田レリッシュ,61.1,10.71,5475 days,中野,3,1,1,1,0,6,4480
3258,プラウドシティ金町アベニュー,76.07,11.06,3802 days,葛飾,3,1,1,1,0,6,4480
3259,レーベンリヴァーレ新江古田レリッシュ,61.1,10.71,5475 days,中野,3,1,1,1,0,6,4480
3260,ベルジェンド新中野レジデンス,43.51,4.2,2038 days,中野,1,1,1,1,0,4,4480
3261,グランスイート上石神井,69.12,4.81,3772 days,練馬,3,1,1,1,0,6,4480
3262,グランドメゾン池袋一番館,50.66,7.57,12964 days,豊島,1,1,1,1,0,4,4490
3263,六義園マンション,50.66,-,17681 days,文京,2,1,1,1,0,5,4490
3264,三田第2コーポラス,50.22,-,18504 days,港,2,0,1,1,0,4,4490
3265,高輪中央マンション,44.05,-,19112 days,港,1,1,1,1,0,4,4498
3266,ライオンズマンション文京,57.84,8.08,18170 days,文京,2,1,1,1,0,5,4499
3267,ニュー外苑ハイツ,51.12,4.32,18961 days,渋谷,1,1,1,1,0,4,4499
3271,若林コンド,57.28,6,17013 days,世田谷,2,1,1,1,0,5,4499
3272,ライオンズマンション文京,57.84,8.08,18170 days,文京,2,1,1,1,0,5,4499
3273,小鳩マンション,59.4,11.23,17104 days,渋谷,3,1,1,1,0,6,4499
3274,ＳＩＮ-Cｉｔｙ王子(シンシティ王子),49.73,4.6,5233 days,北,1,1,1,1,0,4,4499
3275,エクレール目黒,44.52,3.85,13848 days,品川,1,1,1,1,0,4,4580
3276,セザール上野毛ガーデン,50.11,3,10011 days,世田谷,2,1,1,1,0,5,4580
3277,クレッセント高円寺,51,7.36,9251 days,中野,2,1,1,1,0,5,4580
3278,二子玉川ロイヤルマンション,61.71,-,15156 days,世田谷,3,1,1,1,0,6,4580
3279,サンクタス西葛西,72,10.5,3649 days,江戸川,3,1,1,1,0,6,4580
3280,メイツ品川,71.5,7.62,16129 days,品川,2,1,1,1,0,5,4580
3281,メインステージ上野松が谷,47.66,9.55,1885 days,台東,1,1,1,1,0,4,4580
3282,セザール上野毛ガーデン,50.11,3,10011 days,世田谷,2,1,1,1,0,5,4580
3283,セザール上野毛ガーデン,50.11,3,10011 days,世田谷,2,1,1,1,0,5,4580
3284,ライオンズヴィアーレ練馬春日町,64.6,-,8581 days,練馬,2,1,1,1,1,6,4580
3285,メイツ品川,71.5,-,16129 days,品川,2,1,1,1,0,5,4580
3286,プラウドシティ金町アベニュー,72.4,12.3,3802 days,葛飾,2,1,1,1,0,5,4580
3287,ヴェラハイツ吾妻橋,71.79,-,12568 days,墨田,3,1,1,1,0,6,4599
3288,コスモ久が原202,96.3,10.07,11868 days,大田,3,1,1,1,0,6,4600
3289,ＡＸＡＳ高田馬場,50.43,8.12,3560 days,新宿,1,1,1,1,0,4,4680
3290,クレストフォルム南砂仙台堀川公園,78.69,-,6390 days,江東,3,1,1,1,0,6,4680
3291,メゾン蒲田,64.48,5.77,14364 days,大田,2,1,1,1,0,5,4680
3292,武蔵小山コーポラス,51.16,6.2,14272 days,品川,2,1,1,1,0,5,4680
3294,メゾン蒲田,64.48,5.77,14333 days,大田,2,1,1,1,0,5,4680
3295,武蔵小山コーポラス,51.15,6.2,14272 days,品川,2,1,1,1,0,5,4680
3296,AXAS高田馬場,50.43,8.12,3560 days,新宿,1,1,1,1,0,4,4680
3297,マンシヨン五反田,54.97,6.22,15187 days,品川,2,1,1,1,0,5,4699
3298,ブロッサムコートむさし野ビュー・ウイング,69.73,8.68,7424 days,練馬,3,1,1,1,0,6,4699
3299,グランヴェール南馬込,51.34,7.99,9708 days,大田,1,1,1,1,0,4,4700
3300,ユニロイヤル赤坂,37.08,1,7059 days,港,1,0,0,0,0,1,4700
3301,ライオンズ北赤羽レジデンス,73.8,8.77,3437 days,北,3,1,1,1,0,6,4720
3303,エンゼルハイム田園調布南,66.4,9.3,8308 days,大田,3,1,1,1,0,6,4778
3304,日興パレス雷門,70.22,6.75,11656 days,台東,3,1,1,1,0,6,4780
3305,キャッスルマンション青葉台,43.38,4.51,13329 days,目黒,2,0,1,1,0,4,4780
3306,日商岩井第1玉川台マンション,60.06,7.83,15674 days,世田谷,3,1,1,1,0,6,4780
3307,秀和第二三田綱町レジデンス,43.06,4.1,17894 days,港,1,1,1,1,0,4,4780
3308,ザ・レジデンス東京イーストレジデンスⅡ,84.56,27.15,5628 days,足立,2,1,1,1,0,5,4780
3309,リヴシティ日暮里,51.25,5.98,1307 days,荒川,2,1,1,1,0,5,4780
3310,中銀東上野マンシオン,62.13,7.59,14759 days,台東,2,1,1,1,0,5,4790
3311,市ヶ谷外濠アーバンライフ,58.32,6.12,15764 days,新宿,2,1,1,1,0,5,4798
3312,市ヶ谷外濠アーバンライフ,58.33,6.12,15764 days,新宿,2,1,1,1,0,5,4798
3313,成城コンド,72.24,21.12,18321 days,世田谷,2,1,1,1,0,5,4799
3314,成城コンド,72.24,21.12,18321 days,世田谷,2,1,1,1,0,5,4799
3315,ヴェレーナ東京入谷,55.07,6.22,3529 days,台東,2,1,1,1,0,5,4799
3316,ヴェレーナ東京入谷,55.07,-,3529 days,台東,2,1,1,1,0,5,4799
3317,秀和目黒レジデンス,47.67,-,19417 days,目黒,1,1,1,1,0,4,4799
3318,ミオ・カステーロ篠崎,82.5,34.72,6298 days,江戸川,4,1,1,1,0,7,4880
3319,ウエリス浅草,56.89,-,1398 days,台東,2,1,1,1,0,5,4880
3320,ミオ・カステーロ篠崎,82.5,34.72,6298 days,江戸川,3,1,1,1,1,7,4880
3321,代々木ハビテーション,60.89,7.74,19081 days,渋谷,2,1,1,1,0,5,4880
3322,コンド瀬田,66.43,5.59,14606 days,世田谷,3,1,1,1,0,6,4880
3323,グレンパーク池田山,55.17,6.63,6421 days,品川,1,1,1,1,0,4,4880
3324,ミオカステーロ蒲田,76.86,15.78,4563 days,大田,3,1,1,1,0,6,4899
3325,ミオカステーロ蒲田,76.86,15.78,4563 days,大田,3,1,1,1,0,6,4899
3326,中央マンション,102.57,-,20422 days,中野,4,1,1,1,0,7,4899
3327,イニシア西新井,74.62,9.8,1123 days,足立,2,1,1,1,1,6,4900
3328,フォルム四谷外苑東,38.8,5.5,6206 days,新宿,1,1,1,1,0,4,4950
3329,ランドステージ要町イグジスト,56.95,4.27,4716 days,豊島,1,1,1,1,1,5,4980
3330,サンライズ野沢,78.3,-,15217 days,世田谷,3,1,1,1,0,6,4980
3331,レーベン熊野前アインスゲート１１階（内見可能）,65.28,13.2,1854 days,荒川,3,1,1,1,0,6,4980
3332,ワイズ２２２,65,8.8,8854 days,大田,3,1,1,1,1,7,4980
3333,ライオンズステージ東向島,85.67,13.53,6268 days,墨田,4,1,1,1,0,7,4980
3334,パルテール蒲田フレシアガーデン,54.96,7.56,3315 days,大田,2,1,1,1,0,5,4980
3335,パルテール蒲田フレシアガーデン,54.95,7.56,3315 days,大田,2,1,1,1,0,5,4980
3336,ネベル板橋,55.77,13.75,424 days,北,2,1,1,1,0,5,4980
3337,池尻ハウス,62.2,5,14578 days,世田谷,1,1,1,1,0,4,4980
3338,パレスハイツ若松町,56.27,3.82,13876 days,新宿,1,1,1,1,1,5,4980
3339,パラシオン亀戸,104.17,-,16739 days,江東,4,1,1,1,1,8,4980
3340,ランドステージ要町イグジスト,56.95,4.27,4716 days,豊島,1,1,1,1,1,5,4980
3341,パルテール蒲田フレシアガーデン,54.95,7.56,3315 days,大田,2,1,1,1,0,5,4980
3342,久我山ハイム,90.54,15.6,20057 days,杉並,3,1,1,1,0,6,4980
3343,高田馬場ダイカンプラザ,57.96,5.5,15095 days,新宿,2,1,1,1,0,5,4980
3344,東中野ハイム　中古マンション,70.59,6.82,16982 days,中野,3,1,1,1,0,6,4980
3345,パルテール蒲田フレシアガーデン,54.95,7.56,3315 days,大田,2,1,1,1,0,5,4980
3346,ワイズ222,65,8.8,8854 days,大田,3,1,1,1,1,7,4980
3347,ランドステージ要町イグジスト,56.95,4.27,4716 days,豊島,1,1,1,1,1,5,4980
3348,ハイツ北品川,66,7.5,18474 days,品川,2,1,1,1,0,5,4980
3349,■リフォーム済み！■パルテール蒲田フレシアガーデン,54.95,7.56,3315 days,大田,2,1,1,1,0,5,4980
3350,レガリス銀座イースト,40.4,3.68,1733 days,中央,1,1,1,1,0,4,4980
3351,パルテール蒲田フレシアガーデン,54.95,7.56,3315 days,大田,2,1,1,1,0,5,4980
3352,菱和パレス大森山王壱番館,65.89,9.13,7212 days,大田,3,1,1,1,0,6,4980
3353,ルフォン町屋ブランシエラ,63.6,10.65,2553 days,荒川,3,1,1,1,0,6,4980
3354,ワイズ２２２,65.01,8.8,8854 days,大田,3,1,1,1,1,7,4980
3355,GSハイム日暮里,76.94,14.88,14943 days,荒川,3,1,1,1,0,6,4980
3356,ヴィラファースト渋谷,44.4,2.7,6512 days,渋谷,1,1,1,1,0,4,4980
3357,ヴィラファースト渋谷,44.98,2.7,6512 days,渋谷,1,1,1,1,0,4,4980
3358,マイキャッスル碑文谷,58.54,5.77,7393 days,目黒,1,1,1,1,0,4,4980
3359,ブリリアマーレ有明タワー＆ガーデン,55.65,9.97,4502 days,江東,1,1,1,1,0,4,4980
3360,レガリス銀座イースト,40.4,3.68,1733 days,中央,1,1,1,1,0,4,4980
3361,オーベル光が丘,112.92,12.95,9677 days,練馬,4,1,1,1,0,7,4990
3362,《ジェイパーク南麻布》,42.3,2.64,8734 days,港,2,0,1,1,0,4,4990
3363,ジェイパーク南麻布,42.3,2.64,8734 days,港,2,0,1,1,0,4,4990
3364,オーベル光が丘,112.92,12.95,9677 days,練馬,4,1,1,1,0,7,4990
3365,ジェイパーク南麻布,42.3,2.64,8734 days,港,2,0,1,1,0,4,4990
3366,ラディエンス東向島,65.73,9.48,7729 days,墨田,3,1,1,1,0,6,4990
3367,ブロードウェイ,58.23,5.13,19904 days,中野,2,1,1,1,0,5,4999
3368,クレベール西新宿フォレストマンション,53.69,5.85,13176 days,新宿,2,1,1,1,0,5,5099
3369,クレベール西新宿フォレストマンション,53.69,5.85,13176 days,新宿,2,1,1,1,0,5,5099
3370,ベルテ代々木上原Ⅱ,50.52,9.3,7759 days,渋谷,2,1,1,1,0,5,5150
3371,朝日ラ・パリオ沼袋,67.8,4.43,9373 days,中野,3,1,1,1,0,6,5180
3373,朝日ラ・パリオ沼袋,67.8,4.43,9404 days,中野,3,1,1,1,0,6,5180
3374,ストークマンション三田,60.49,5.72,18290 days,港,2,1,1,1,0,5,5190
3375,ライオンズマンション中野坂上シティ,52.65,6.37,7820 days,中野,2,1,1,1,0,5,5198
3376,目黒プラザ,60.48,5.43,18290 days,品川,2,1,1,1,0,5,5199
3377,ライオンズ亀有駅前レジデンス,70.25,16.1,4014 days,葛飾,3,1,1,1,0,6,5230
3378,J.P.C恵比寿マンション,54.6,12.7,17773 days,渋谷,1,1,1,1,0,4,5250
3379,クレストフォルム大井町サウステラス,57.95,5,2188 days,品川,2,1,1,1,0,5,5250
3380,ライオンズマンション北品川第２,57.89,6.72,13390 days,品川,3,1,1,1,0,6,5280
3381,ライオンズマンション中野桃園,55.44,8.16,7607 days,杉並,2,1,1,1,0,5,5280
3382,セボンヴェルディア二子玉川,86.79,-,6116 days,世田谷,3,1,1,1,0,6,5280
3383,多摩川ガーデンハウス,75.86,6.37,8004 days,大田,3,1,1,1,0,6,5290
3384,藤和シティホームズ西日暮里,62,7.56,8762 days,北,2,1,1,1,0,5,5299
3385,クレストフォルム高井戸南,70.16,23.1,7516 days,杉並,3,1,1,1,0,6,5299
3386,クレストフォルム高井戸南,70.16,23.1,7516 days,杉並,3,1,1,1,0,6,5299
3387,フュージョナル両国クアトロ,51.66,8.81,2737 days,墨田,2,1,1,1,0,5,5300
3388,クレッセント池尻大橋,58.3,1,9830 days,世田谷,2,1,1,1,0,5,5300
3389,コンシェリア東京＜ＩＲＩＹＡ　ＳＴＡＴＩＯＮ　ＦＲＯ…,58.88,6.25,1033 days,台東,2,1,1,1,0,5,5380
3390,千歳烏山西ガーデンハウス,82.92,10.4,8977 days,世田谷,4,1,1,1,0,7,5380
3391,サン・フローラハイツ渋谷,45.6,4.82,13451 days,渋谷,1,1,1,1,0,4,5390
3392,原宿ニュースカイハイツアネックス,42.8,2.96,17559 days,渋谷,1,1,1,1,0,4,5480
3393,ジェノヴィア門前仲町グリーンヴェール,51.6,6.6,180 days,江東,2,1,1,1,0,5,5480
3394,プレール・ドゥーク門前仲町Ⅲ,51.6,6.6,180 days,江東,2,1,1,1,0,5,5480
3395,オープンレジデンシア目黒花房山,40.01,7.12,2038 days,品川,1,1,1,1,0,4,5480
3396,アリアシティ,71.61,11.22,7089 days,江東,3,1,1,1,0,6,5480
3397,エクセルダイア大森ＩＩＩ,91.89,-,3711 days,大田,3,1,1,1,0,6,5480
3398,パークホームズ杉並善福寺川緑地,68.05,16,2007 days,杉並,3,1,1,1,0,6,5480
3399,パークホームズ杉並善福寺川緑地,68.05,-,2007 days,杉並,3,1,1,1,0,6,5480
3400,イースタンホームズ若林,83.14,9.7,13938 days,世田谷,2,1,1,1,0,5,5490
3401,リムテラス三軒茶屋,73.33,7,1794 days,世田谷,3,1,1,1,0,6,5499
3402,秀和代々木レジデンス,53.9,3.3,16190 days,渋谷,2,1,1,1,0,5,5499
3403,ライオンズマンション八幡山,89.15,89.15,12234 days,杉並,3,1,1,1,0,6,5499
3404,ライオンズマンション八幡山,89.15,10.59,12234 days,杉並,3,1,1,1,0,6,5499
3405,マイキャッスル大井町Ⅱ,54.16,8.12,9616 days,品川,2,1,1,1,0,5,5499
3406,プラザ元加賀ＣＤ棟,79.12,8.59,13511 days,江東,3,1,1,1,0,6,5500
3407,ＷコンフォートタワーズWEST,86.69,13,5840 days,江東,1,1,1,1,0,4,5500
3408,ローゼンハイム,80,6.69,15309 days,新宿,3,1,1,1,0,6,5550
3409,東京フロンティアシティパーク＆パークス,85.03,12.8,4807 days,荒川,3,1,1,1,1,7,5580
3410,マイキャッスル門前仲町古石場イースト,69.8,13.1,7577 days,江東,2,1,1,1,0,5,5580
3411,クレッセント中目黒,56.02,8.1,9220 days,目黒,2,1,1,1,0,5,5580
3412,ダイアパレス猿江恩賜公園,82.4,11.58,11899 days,江東,3,1,1,1,0,6,5580
3413,オープンレジデンス中野道玄町,84.13,5,3102 days,中野,2,1,1,1,1,6,5580
3414,大井町ファルベ,71.37,4.8,3986 days,品川,3,1,1,1,0,6,5580
3415,大井町ファルベ,71.37,-,3986 days,品川,3,1,1,1,0,6,5580
3416,大井町ファルベ,71.37,4.8,3955 days,品川,3,1,1,1,0,6,5580
3417,ザ・ロアハウス代々木初台,52.62,-,2768 days,渋谷,1,1,1,1,0,4,5680
3418,ライオンズヒルズ千石,68.74,4.74,9738 days,文京,2,1,1,1,0,5,5680
3419,ライオンズタワー赤羽,60.92,8.41,7820 days,北,2,1,1,1,0,5,5680
3420,コスモポリス品川,50.16,11.57,5840 days,港,1,1,1,1,0,4,5680
3421,ブリリア銀座id,39.93,7.82,5963 days,中央,1,0,0,1,0,2,5680
3422,東京テラスH,80.97,11.19,5598 days,世田谷,3,1,1,1,0,6,5680
3423,シティハウス池袋立教南,56.19,10.02,3224 days,豊島,2,1,1,1,0,5,5680
3424,エムステージ・イースティア,75.44,12.78,7242 days,江東,3,1,1,1,1,7,5750
3425,エムステージ・イースティア,75.43,12.78,7242 days,江東,3,1,1,1,0,6,5750
3426,オープンレジデンス中野桃園町（内見可能）,72.68,3.15,3833 days,中野,2,1,1,1,1,6,5780
3427,ライオンズマンション上野毛Ａ棟,79.38,7.08,15702 days,世田谷,3,1,1,1,1,7,5780
3428,東建参宮橋マンション,63.18,7.23,17773 days,渋谷,3,1,1,1,0,6,5780
3429,藤和シティホームズ西早稲田,65.18,13.41,7638 days,新宿,2,1,1,1,0,5,5780
3430,ヒルズ代官山,43.07,5.2,13360 days,渋谷,2,0,1,1,0,4,5780
3431,ライオンズ上井草レジデンス,82.82,8.37,2280 days,練馬,4,1,1,1,0,7,5780
3432,パークハウス松ノ木,72,9.24,4960 days,杉並,3,1,1,1,0,6,5780
3433,アクトピア北赤羽壱番館,91.44,11.52,7790 days,北,4,1,1,1,0,7,5780
3434,アーバンハイツ北砂,95.72,10.11,12387 days,江東,4,1,1,1,0,7,5790
3435,伊皿子スワローズマンション,59.53,7.66,18017 days,港,2,1,1,1,0,5,5799
3436,グランドメゾン池袋,72.13,9.45,14182 days,豊島,3,1,1,1,0,6,5799
3437,グランドメゾン池袋,72.13,9.45,14182 days,豊島,3,1,1,1,0,6,5799
3438,高円寺ニューナショナルコート　中古マンション,83.49,14.48,14425 days,杉並,3,1,1,1,0,6,5880
3439,シティハウス蔵前キャピタルコート　1３階南向き,55.18,8.6,2798 days,台東,2,1,1,1,0,5,5880
3440,ライオンズマンション桜ケ丘,62.24,-,15399 days,渋谷,2,1,1,1,0,5,5880
3441,グランドメゾン一番町,59.97,2.18,13482 days,千代田,1,1,1,1,0,4,5880
3442,上野毛南パーク・ホームズ,73.19,7,8216 days,世田谷,3,1,1,1,0,6,5899
3443,パロス白金,46.55,9.07,8397 days,港,1,1,1,1,0,4,5950
3444,パークハウス杉並高井戸,62.9,11.52,3986 days,杉並,3,1,1,1,0,6,5980
3445,ARTESSIMO PRIMA,54.05,5.19,2372 days,中央,2,0,1,1,0,4,5980
3446,東京ミッドベイ勝どき,60.4,11.8,3284 days,中央,3,1,1,1,0,6,5980
3447,プレシス西葛西ペイサージュ,74.66,8.25,1823 days,江戸川,3,1,1,1,0,6,5980
3449,フォルム四谷外苑東,46.6,7.74,6206 days,新宿,1,1,1,1,0,4,5980
3450,ニューウェルハイツ第２奥沢,69.75,14.48,15794 days,世田谷,2,1,1,1,0,5,5980
3451,プレシス西葛西ペイサージュ,74.66,8.25,1823 days,江戸川,3,1,1,1,0,6,5980
3452,デュオスカーラ西麻布タワーＥＡＳＴ,40.96,4.37,6602 days,港,1,1,1,1,0,4,5980
3453,ライオンズマンション新富町第２,63.23,5.85,12964 days,中央,2,1,1,1,1,6,5980
3454,【家族の笑顔のある暮らし】ヒルズ大森,82.3,12,13117 days,品川,3,1,1,1,0,6,5990
3455,シティフロントタワー,60.39,7.26,10773 days,中央,1,1,1,1,0,4,5990
3456,スカイライトタワー,61.56,9.16,10223 days,中央,1,1,1,1,0,4,5990
3457,シティフロントタワー,60.39,7.26,10773 days,中央,1,1,1,1,0,4,5990
3458,ヒルズ大森,82.3,12,13117 days,品川,3,1,1,1,0,6,5990
3459,ハイマート渋谷神泉,71.82,4.45,16770 days,渋谷,2,1,1,1,0,5,5999
3460,ハイマート渋谷神泉,71.82,4.45,16770 days,渋谷,2,1,1,1,1,6,5999
3461,上池台デュープレックス,73.97,9.48,8520 days,大田,3,1,1,1,0,6,5999
3462,上池台デュープレックス,73.97,9.48,8520 days,大田,3,1,1,1,0,6,5999
3463,セントラル三田,62.48,46.15,15429 days,港,2,1,1,1,0,5,5999
3464,麻布狸穴ナショナルコート,58.49,5.78,16404 days,港,2,1,1,1,0,5,6058
3465,パークホームズ杉並和泉ザレジデンス,59.09,8.4,2007 days,杉並,2,1,1,1,0,5,6080
3466,シティライブ池ノ上,67.49,10.4,9128 days,世田谷,3,1,1,1,0,6,6099
3467,ヴィークグラン世田谷千歳船橋さくらガーデン,71.16,12.6,2584 days,世田谷,3,1,1,1,0,6,6180
3468,品川イーストシティタワー,56.82,11.34,942 days,品川,2,1,1,1,0,5,6180
3469,ルフォンリブレ上野根岸,60.66,3.09,727 days,台東,1,1,1,1,0,4,6180
3470,エクセル立教前,62.1,5.4,9007 days,豊島,2,1,1,1,1,6,6180
3471,アクシア上用賀,74.92,12.34,4351 days,世田谷,2,1,1,1,0,5,6180
3472,《ウエリス新宿早稲田の森》,44.77,8.1,972 days,新宿,1,1,1,1,0,4,6180
3473,パークノヴァ神宮前,55.14,-,12660 days,渋谷,1,1,1,1,0,4,6190
3474,チュリス代々木,76.27,-,16008 days,渋谷,2,1,1,1,0,5,6280
3475,アルス練馬パルトゥール,72.12,16.75,6359 days,練馬,3,1,1,1,0,6,6280
3476,三田ナショナルコート,80.4,9.38,14272 days,港,3,1,1,1,1,7,6280
3477,シティタワーズ東京ベイ セントラルタワー,54.24,14.61,577 days,江東,2,1,1,1,0,5,6280
3478,三田ナショナルコート,80.4,9.38,14272 days,港,3,1,1,1,1,7,6280
3479,恵比寿ガーデン,45,5.18,13145 days,渋谷,2,1,1,1,0,5,6280
3480,シティタワーズ東京ベイ　セントラルタワー,54.24,14.61,577 days,江東,2,1,1,1,0,5,6280
3481,ザ・サンメゾン文京本郷エルド,48.8,5.78,2007 days,文京,2,1,1,1,0,5,6330
3482,ザ・サンメゾン文京本郷エルド◇本郷三丁目駅 徒歩約４…,48.8,5.78,2007 days,文京,2,1,1,1,0,5,6330
3483,プレジオ東中野,60.11,6.24,3010 days,中野,2,1,1,1,0,5,6350
3485,シティタワーズ豊洲ザ・シンボル,62.22,5.68,4076 days,江東,2,1,1,1,0,5,6380
3486,モア・クレスト神宮前,55.58,7.36,8124 days,渋谷,1,1,1,1,0,4,6399
3487,モア・クレスト神宮前,55.58,7.36,8124 days,渋谷,1,1,1,1,0,4,6399
3488,DEUX TOURS WEST ,44.67,7.02,1976 days,中央,1,1,1,1,0,4,6400
3489,カインドステージ高輪台,56.88,7.97,7393 days,品川,2,1,1,1,0,5,6480
3490,ウィライブ下落合,91.29,11.78,8673 days,新宿,3,1,1,1,0,6,6480
3491,アスコットパーク新御徒町プラシード,72.81,11.68,5963 days,台東,2,1,1,1,0,5,6480
3492,東京アムフラット,54.94,4.35,7273 days,中央,1,1,1,1,1,5,6480
3493,セザール代々木,54,6.4,9099 days,渋谷,2,1,1,1,0,5,6480
3494,氷川アネックス２号館,73.72,-,16312 days,港,2,1,1,1,1,6,6480
3495,デュオ・スカーラ阿佐ヶ谷Ⅱ,52.56,4.25,6816 days,杉並,2,1,1,1,0,5,6480
3496,デュオ・スカーラ阿佐ヶ谷Ⅱ,52.55,4.25,6816 days,杉並,2,1,1,1,0,5,6480
3497,ライオンズマンション中野桃園,64.94,8.31,7607 days,杉並,2,1,1,1,0,5,6480
3498,～クリスティー小石川～,87.93,33.85,10620 days,文京,2,1,1,1,1,6,6480
3499,マジェスティハウス新宿御苑パークナード,50,-,2584 days,新宿,2,1,1,1,0,5,6480
3500,アルカハビタ,84.05,18.44,8734 days,墨田,3,1,1,1,0,6,6480
3501,オープンレジデンシア日本橋馬喰町,60.79,5.89,1092 days,中央,2,1,1,1,0,5,6490
3502,LUXIO 日本橋蛎殻町,63.61,8.1,2160 days,中央,2,1,1,1,0,5,6490
3503,パストラルハイム面影橋,71.55,8.4,10468 days,新宿,3,1,1,1,0,6,6499
3504,チュリス氷川坂,60.77,3.29,15674 days,港,2,1,1,1,0,5,6500
3505,クオリア代々木,55.33,-,5840 days,渋谷,1,1,1,1,0,4,6500
3506,◆オーナーチェンジ物件◆クレストタワー品川シーサイド…,75.89,21.6,4685 days,品川,3,1,1,1,0,6,6500
3507,《クオリア代々木》,55.33,-,5840 days,渋谷,1,1,1,1,0,4,6500
3508,スカイズ　タワー＆ガーデン　SKYZ TOWER&G…,60.22,13.1,2372 days,江東,2,1,1,1,0,5,6530
3509,DEUX TOURS WEST,49.94,6.91,1946 days,中央,1,1,1,1,0,4,6550
3510,DEUX TOURS WEST｜ドゥ・トゥールウエス…,49.94,6.91,1946 days,中央,1,1,1,1,0,4,6550
3511,ヴィナシス金町タワーレジデンス,81.85,30,4229 days,葛飾,3,1,1,1,0,6,6580
3512,エクレール南麻布,58.11,5.5,14486 days,港,2,1,1,1,0,5,6580
3513,メゾンエクレーレ浜町公園,75.35,11.05,12842 days,中央,3,1,1,1,0,6,6580
3514,シーアイマンション駒場Ｂ棟,79.47,19.18,17620 days,世田谷,3,1,1,1,0,6,6600
3515,小田急コアロード広尾,52.73,9.15,7332 days,港,2,1,1,1,0,5,6650
3516,コアロード広尾,52.73,9.15,7332 days,港,2,1,1,1,0,5,6650
3517,小田急コアロード広尾,52.73,9.15,7332 days,港,2,1,1,1,0,5,6650
3518,東京サーハウスセンターポート,95.43,20.55,6390 days,大田,1,1,1,1,0,4,6650
3519,世田谷台ピロティ,73.47,12.5,11291 days,世田谷,2,1,1,1,1,6,6660
3520,【開放感のあるバルコニー　フルリノベーション完成済み…,73.47,12.5,11291 days,世田谷,3,1,1,1,0,6,6660
3521,世田谷台ピロティ,73.47,12.5,11291 days,世田谷,3,1,1,1,0,6,6660
3522,世田谷台ピロティ,73.47,12.5,11291 days,世田谷,2,1,1,1,1,6,6660
3523,東京アムフラット,54.94,4.35,7273 days,中央,2,1,1,1,0,5,6680
3524,東京マスタープレイス,86.67,12.37,6816 days,大田,4,1,1,1,0,7,6680
3525,アルヴァローレ西ヶ原,81.61,9.79,6543 days,北,3,1,1,1,0,6,6680
3526,スカイシティ豊洲,80.48,27.02,8762 days,江東,3,1,1,1,0,6,6680
3527,オープンレジデンシア大森,63.83,14.52,1641 days,大田,3,1,1,1,0,6,6700
3528,グリーンコート中野,101.7,-,5202 days,中野,3,1,1,1,0,6,6780
3529,文京区春日2丁目,56.1,8.64,2645 days,文京,1,1,1,1,1,5,6780
3530,グランドパーク恵比寿センシュアス,50.97,3.59,7546 days,渋谷,1,1,1,1,1,5,6780
3531,ライオンズプラザ浅草第2,71.85,4.14,7790 days,台東,3,1,1,1,0,6,6780
3532,秀和代官山レジデンス,63.72,11.7,17834 days,渋谷,2,1,1,1,0,5,6780
3533,ディアナコート自由が丘,57.16,5.77,8762 days,世田谷,2,1,1,1,0,5,6780
3534,クレストフォルム代々木上原,70.13,8.61,8581 days,世田谷,3,1,1,1,0,6,6799
3535,クレストフォルム代々木上原,70.13,8.61,8581 days,世田谷,3,1,1,1,0,6,6799
3536,クレストフォルム代々木上原,70.13,8.61,8581 days,世田谷,3,1,1,1,0,6,6799
3537,戸山マンション,87.53,3,18504 days,新宿,3,1,1,1,0,6,6799
